PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
10,WEAPONS,10/1/1979,,,,"This group includes combat weapons as well as weapon-like noncombat items, such as line throwing devices and pyrotechnic pistols.  Also included in this group are weapon neutralizing equipment, such as degaussers, and deception equipment, such as camouflage nets.  Excluded from this group are fire control and night devices classifiable in groups 12 or 58.",
1000,,12/12/2003,10/1/2006,,,,
1005,"GUNS, THROUGH 30MM",10/1/2011,,"Guns, through 30 mm","Turrets, Aircraft.",,"Machine guns; Brushes, Machine Gun and Pistol."
1005,"GUNS, THROUGH 30 MM",10/15/1978,9/30/2011,"Guns, through 30 mm","Turrets, Aircraft.",,"Machine guns; Brushes, Machine Gun and Pistol."
1010,"GUNS, OVER 30MM UP TO 75MM",10/1/2011,,"Guns, over 30 mm up to 75 mm",,,"Breech Mechanisms; Mounts Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing."
1010,"GUNS, OVER 30 MM UP TO 75 MM",10/15/1978,9/30/2011,"Guns, over 30 mm up to 75 mm",,,"Breech Mechanisms; Mounts Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing."
1015,"GUNS, 75MM THROUGH 125MM",10/1/2011,,"Guns, 75 mm through 125 mm",,,Breech Mechanisms; Mounts; Rammers.
1015,"GUNS, 75 MM THROUGH 125 MM",10/15/1978,9/30/2011,"Guns, 75 mm through 125 mm",,,Breech Mechanisms; Mounts; Rammers.
1020,"GUNS, OVER 125MM THROUGH 150MM",10/1/2011,,"Guns, over 125 mm through 150 mm Includes Breech Mechanisms, Power Drives; Gun Shields.",,,
1020,GUNS OVER 125 MM THROUGH 150 MM,10/15/1978,9/30/2011,"Guns, over 125 mm through 150 mm Includes Breech Mechanisms, Power Drives; Gun Shields.",,,
1025,"GUNS, OVER 150MM THROUGH 200MM",10/1/2011,,"Guns, over 150 mm through 200 mm Includes Firing Platforms; Mounts; Gun Shields.",,,
1025,GUNS OVER 150 MM THROUGH 200 MM,10/15/1978,9/30/2011,"Guns, over 150 mm through 200 mm Includes Firing Platforms; Mounts; Gun Shields.",,,
1030,"GUNS, OVER 200MM THROUGH 300MM",10/1/2011,,"Guns, over 200 mm through 300 mm Includes Gun Yokes; Rammers; Reflectors.",,,
1030,GUNS OVER 200 MM THROUGH 300 MM,11/15/1978,9/30/2011,"Guns, over 200 mm through 300 mm Includes Gun Yokes; Rammers; Reflectors.",,,
1035,"GUNS, OVER 300MM",10/1/2011,,"Guns, over 300 mm",,,Breech Mechanisms; Training Gears; Power Drives.
1035,"GUNS, OVER 300 MM",1/15/1979,9/30/2011,"Guns, over 300 mm",,,Breech Mechanisms; Training Gears; Power Drives.
1040,CHEMICAL WEAPONS AND EQUIPMENT,10/15/1978,,Chemical Weapons and Equipment,,,Flame Throwers; Smoke Generators.
